id,alias,type,format,default,notes
kCEK,ENCODER_KEY,int,,12,
k1,ID,int,,,
k2,NAME,string,,,
k3,DESCRIPTION,string,base64,,
k5,CREATOR,string,,,
k7,DIFFICULTY,int,difficulty,,
k11,DOWNLOADS,int,,,
k15,UPLOADED,int,bool,,
k16,VERSION,int,,,
k21,TYPE,int,list type,,
k22,LIKE_RATING,int,,,
k27,FEATURED,bool,,,
k42,ORIGINAL_ID,int,,,
k46,REVISION,int,,,
k47,M_K47,bool,,,
k60,ACCOUNT_ID,int,,,
k79,UNLISTED,bool,,,
k82,FAVORITE,bool,,,
k83,INDEX,int,,,
k84,M_K84,int,,,
k94,FRIENDS_ONLY,bool,,,
k96,LEVEL_IDS,string,int list,,
k97,LEVEL_INFO,dict,level map,,
k98,UPLOAD_TIME,int,,,
k99,UPDATE_TIME,int,,,
k100,ONLINE_LEVELS_LOADED,bool,,,
k113,DIAMOND_REWARD,int,,,
k114,LEVELS_TO_CLAIM,int,,,
