object id,gd class,community alias,gmdkit alias,editor tab,tab index
0,,,LEVEL_START,,
1,GameObject,Black Gradient Square,,1,0
2,GameObject,Grid Patterned Top Square,,1,2
3,GameObject,Grid Patterned Outer Corner Square,,1,3
4,GameObject,Grid Patterned Inner Corner Square,,1,4
5,GameObject,Grid Patterned Inner Square,,1,5
6,GameObject,Grid Patterned Top Pillar Square,,1,7
7,GameObject,Grid Patterned Pillar Square,,1,8
8,GameObject,Black Gradient Spike,,4,0
9,GameObject,,,,
10,EffectGameObject,Blue Gravity Portal,portal.GRAVITY_NORMAL,6,16
11,EffectGameObject,Yellow Gravity Portal,portal.GRAVITY_INVERTED,6,17
12,EffectGameObject,Cube Portal,portal.CUBE,6,19
13,EffectGameObject,Ship Portal,portal.SHIP,6,20
15,GameObject,Tall Rod,,12,76
16,GameObject,Medium Rod,,12,77
17,GameObject,Short Rod,,12,78
18,GameObject,Large Decorative Spikes,,11,192
19,GameObject,Medium Decorative Spikes,,11,193
20,GameObject,Small Decorative Spikes,,11,194
21,GameObject,Very Small Decorative Spikes,,11,195
22,EnterEffectObject,No Enter Effect,trigger.enter_preset.FADE_ONLY,13,107
23,EnterEffectObject,Fade Bottom Enter Effect,trigger.enter_preset.FADE_BOTTOM,13,109
24,EnterEffectObject,Fade Top Enter Effect,trigger.enter_preset.FADE_TOP,13,108
25,EnterEffectObject,Fade Left Enter Effect,trigger.enter_preset.FADE_LEFT,13,110
26,EnterEffectObject,Fade Right Enter Effect,trigger.enter_preset.FADE_RIGHT,13,111
27,EnterEffectObject,Small to Big Enter Effect,trigger.enter_preset.SCALE_UP,13,112
28,EnterEffectObject,Big to Small Enter Effect,trigger.enter_preset.SCALE_DOWN,13,113
29,EffectGameObject,,,,
30,EffectGameObject,,,,
31,StartPosObject,Start Position,trigger.START_POSITION,13,0
32,EffectGameObject,Enable Ghost Trail,trigger.TRAIL_ENABLE,13,77
33,EffectGameObject,Disable Ghost Trail,trigger.TRAIL_DISABLE,13,76
34,GameObject,,,,
35,EffectGameObject,Yellow Jump Pad,pad.YELLOW,6,0
36,RingObject,Yellow Jump Orb,orb.YELLOW,6,5
39,GameObject,Half Black Gradient Spike,,4,1
40,GameObject,,,,
41,GameObject,Tall Chain,,11,0
45,EffectGameObject,Orange Mirror Portal,portal.MIRROR_ENTER,6,25
46,EffectGameObject,Blue Mirror Portal,portal.MIRROR_EXIT,6,26
47,EffectGameObject,Ball Portal,portal.BALL,6,21
48,GameObject,Large Fading Cloud,,11,196
49,GameObject,Small Fading Cloud,,11,197
50,GameObject,Pulsing Filled Circle,,12,79
51,GameObject,Pulsing Circle,,12,80
52,GameObject,Pulsing Heart,,12,81
53,GameObject,Pulsing Diamond,,12,82
54,GameObject,Pulsing Star,,12,83
55,EnterEffectObject,Chaotic Enter Effect,trigger.enter_preset.CHAOTIC,13,114
56,EnterEffectObject,Halve Left Enter Effect,trigger.enter_preset.HALF_LEFT,13,115
57,EnterEffectObject,Halve Right Enter Effect,trigger.enter_preset.HALF_RIGHT,13,116
58,EnterEffectObject,Halve Enter Effect,trigger.enter_preset.HALF,13,117
59,EnterEffectObject,Inverse Halve Enter Effect,trigger.enter_preset.HALF_INVERT,13,118
60,GameObject,Pulsing Music Note,,12,84
61,GameObject,,,,
62,GameObject,Wavy Black Slab,,1,814
63,GameObject,Wavy Black Slab Outer Corner,,1,818
64,GameObject,Wavy Black Slab Inner Corner,,1,819
65,GameObject,Wavy Black Slab Right Edge,,1,816
66,GameObject,Wavy Black Slab Left Edge,,1,815
67,EffectGameObject,Blue Gravity Pad,pad.BLUE,6,3
68,GameObject,Wavy Black Slab Singular,,1,817
69,GameObject,Cross Black Square,,1,9
70,GameObject,Beveled Top Square,,1,10
71,GameObject,Beveled Outer Corner Square,,1,11
72,GameObject,Beveled Inner Corner Square,,1,12
73,GameObject,Beveled Inner Square,,1,13
74,GameObject,Beveled Top Pillar Square,,1,14
75,GameObject,Beveled Pillar Square,,1,15
76,GameObject,Mechanical Square,,1,16
77,GameObject,Mechanical Top Square,,1,17
78,GameObject,Mechanical Outer Corner Square,,1,18
80,GameObject,Mechanical Inner Square,,1,19
81,GameObject,Mechanical Top Pillar Square,,1,20
82,GameObject,Mechanical Pillar Square,,1,21
83,GameObject,Grid Patterned Square,,1,1
84,RingObject,Blue Gravity Orb,orb.BLUE,6,8
85,EnhancedGameObject,Large Decorative Gear,,12,26
86,EnhancedGameObject,Medium Decorative Gear,,12,27
87,EnhancedGameObject,Small Decorative Gear,,12,28
88,EnhancedGameObject,,,,
89,EnhancedGameObject,,,,
90,GameObject,Black Square,,1,22
91,GameObject,Black Top Square,,1,23
92,GameObject,Black Outer Corner Square,,1,24
93,GameObject,Black Inner Corner Square,,1,25
94,GameObject,Black Inner Square,,1,26
95,GameObject,Black Top Pillar Square,,1,27
96,GameObject,Black Pillar Square,,1,28
97,EnhancedGameObject,Very Small Decorative Gear,,12,29
98,EnhancedGameObject,,,,
99,EffectGameObject,Green Size Portal,portal.SIZE_NORMAL,6,27
101,EffectGameObject,Pink Size Portal,portal.SIZE_SMALL,6,28
103,GameObject,Small Black Gradient Spike,,4,2
105,EffectGameObject,,,,
106,GameObject,Large Wide Chain,,11,2
107,GameObject,Small Wide Chain,,11,3
110,GameObject,Small Chain,,11,1
111,EffectGameObject,UFO Portal,portal.UFO,6,22
113,GameObject,Large Decorative Bricks,,11,198
114,GameObject,Medium Decorative Bricks,,11,199
115,GameObject,Small Decorative Bricks,,11,200
116,GameObject,Brick Square,,1,29
117,GameObject,Brick Top Square,,1,30
118,GameObject,Brick Outer Corner Square,,1,31
119,GameObject,Brick Inner Corner Square,,1,32
120,GameObject,Brick Inner Square,,1,33
121,GameObject,Brick Top Pillar Square,,1,34
122,GameObject,Brick Pillar Square,,1,35
123,GameObject,Large Decorative Thorn,,11,10
124,GameObject,Medium-Large Decorative Thorn,,11,11
125,GameObject,Medium-Small Decorative Thorn,,11,12
126,GameObject,Small Decorative Thorn,,11,13
127,GameObject,Very Small Decorative Thorn,,11,14
128,GameObject,Very Large Decorative Thorn,,11,9
129,GameObject,Medium Cloud,,11,6
130,GameObject,Large Cloud,,11,7
131,GameObject,Small Cloud,,11,8
132,GameObject,Large Pulsing Arrow 1,,12,88
133,GameObject,Pulsing Exclamation Point,,12,91
134,GameObject,Small Diamond Rod,,11,15
135,GameObject,Thorn Black Pit Hazard,,4,23
136,GameObject,Pulsing Question Mark,,12,92
137,EnhancedGameObject,Large Wheel,,12,30
138,EnhancedGameObject,Medium Wheel,,12,31
139,EnhancedGameObject,Small Wheel,,12,32
140,EffectGameObject,Pink Jump Pad,pad.PINK,6,1
141,RingObject,Pink Jump Orb,orb.PINK,6,6
142,EffectGameObject,,collectible.SECRET_COIN,,
143,GameObject,Breakable Brick,,1,830
144,GameObject,Invisible Spike,,4,8
145,GameObject,Small Invisible Spike,,4,10
146,GameObject,Invisible Square,,2,43
147,GameObject,Invisible Slab,,2,44
148,GameObject,Pulsing Square,,12,85
149,GameObject,Pulsing Triangle,,12,86
150,GameObject,Pulsing Cross,,12,93
151,GameObject,Tall Spike Rod,,11,17
152,GameObject,Medium Spike Rod,,11,18
153,GameObject,Small Spike Rod,,11,19
154,EnhancedGameObject,Large Spike Wheel,,12,33
155,EnhancedGameObject,Medium Spike Wheel,,12,34
156,EnhancedGameObject,Small Spike Wheel,,12,35
157,GameObject,Wavy Decoration,,11,201
158,GameObject,Wavy Decoration Left Edge,,11,202
