type,object id,property id,condition,function,replace,default,min,max,remappable,iterable
color id,obj_id.trigger.COLOR,prop_id.trigger.color.CHANNEL,,,,,1,999,FALSE,FALSE
color id,obj_id.trigger.COLOR,prop_id.trigger.color.COPY_ID,,,,,1,999,FALSE,FALSE
color id,obj_id.trigger.shader.GRAY_SCALE,prop_id.trigger.shader.GRAY_SCALE_TINT_CHANNEL,,,,,1,999,TRUE,FALSE
color id,obj_id.trigger.shader.LENS_CIRCLE,prop_id.trigger.shader.LENS_CIRCLE_TINT_CHANNEL,,,,,1,999,TRUE,FALSE
color id,obj_id.trigger.shader.RADIAL_BLUR,prop_id.trigger.shader.RADIAL_BLUR_REF_CHANNEL,,,,,1,999,TRUE,FALSE
color id,obj_id.trigger.shader.MOTION_BLUR,prop_id.trigger.shader.MOTION_BLUR_REF_CHANNEL,,,,,1,999,TRUE,FALSE
color id,,prop_id.COLOR_1,,,,"lambda x: COLOR_1_DEFAULT.get(x,0)",1,999,FALSE,FALSE
color id,,prop_id.COLOR_2,,,,"lambda x: COLOR_2_DEFAULT.get(x,0)",1,999,FALSE,FALSE
color id,obj_id.trigger.PULSE,prop_id.trigger.pulse.COPY_ID,,,,,1,999,FALSE,FALSE
color id,obj_id.trigger.PULSE,prop_id.trigger.pulse.TARGET_ID,"lambda x: x.get(prop_id.trigger.pulse.TARGET_TYPE,0) == 0",,,,1,999,TRUE,FALSE
color id,obj_id.trigger.area.TINT,prop_id.trigger.effect.TINT_CHANNEL,,,,,1,999,FALSE,FALSE
color id,obj_id.trigger.enter.TINT,prop_id.trigger.effect.TINT_CHANNEL,,,,,1,999,FALSE,FALSE
color id,obj_id.LEVEL_START,prop_id.level.COLORS,,lambda x: x.unique_values(lambda i: i.channels),"lambda x, kvm: x.apply(lambda i: i.remap(kvm))",,1,999,FALSE,TRUE
group id,obj_id.trigger.MOVE,prop_id.trigger.move.TARGET_ID,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.MOVE,prop_id.trigger.move.TARGET_POS,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.MOVE,prop_id.trigger.move.TARGET_CENTER_ID,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.ALPHA,prop_id.trigger.alpha.GROUP_ID,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.TOGGLE,prop_id.trigger.toggle.GROUP_ID,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.TOGGLE_BLOCK,prop_id.trigger.toggle_block.GROUP_ID,,,,,1,9999,TRUE,FALSE
group id,obj_id.orb.TOGGLE,prop_id.trigger.toggle_block.GROUP_ID,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.ON_DEATH,prop_id.trigger.on_death.GROUP_ID,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.SPAWN,prop_id.trigger.spawn.GROUP_ID,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.TELEPORT,prop_id.trigger.teleport.TARGET_ID,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.SONG,prop_id.trigger.song.GROUP_ID_1,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.SONG,prop_id.trigger.song.GROUP_ID_2,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.SONG_EDIT,prop_id.trigger.song.GROUP_ID_1,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.SONG_EDIT,prop_id.trigger.song.GROUP_ID_2,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.SFX,prop_id.trigger.sfx.GROUP_ID_1,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.SFX,prop_id.trigger.sfx.GROUP_ID_2,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.SFX,prop_id.trigger.sfx.GROUP,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.SFX_EDIT,prop_id.trigger.sfx.GROUP_ID_1,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.SFX_EDIT,prop_id.trigger.sfx.GROUP_ID_2,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.SFX_EDIT,prop_id.trigger.sfx.GROUP,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.ROTATE,prop_id.trigger.rotate.TARGET_ID,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.ROTATE,prop_id.trigger.rotate.ROTATE_TARGET,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.ROTATE,prop_id.trigger.rotate.AIM_TARGET,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.ROTATE,prop_id.trigger.rotate.MIN_X_ID,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.ROTATE,prop_id.trigger.rotate.MIN_Y_ID,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.ROTATE,prop_id.trigger.rotate.MAX_X_ID,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.ROTATE,prop_id.trigger.rotate.MAX_Y_ID,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.FOLLOW,prop_id.trigger.follow.TARGET_ID,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.FOLLOW,prop_id.trigger.follow.FOLLOW_TARGET,,,,,1,9999,TRUE,FALSE
group id,obj_id.trigger.ANIMATE,prop_id.trigger.animate.TARGET_ID,,,,,1,9999,TRUE,FALSE
